"GL Year","Town Code","Town Name","100 Residential ","200 Commercial","250 Income and Expense Penalties","300 Industrial","400 Public Utility ","500 Vacant Land","600 Land Use","700 Ten Mill Land","800 Apartment","Total Real Property","Exemptions","Net Real Property","Motor Vehicle","Motor Vehicle Exemption","Total Net Motor Vehicle","Personal Property","Personal Property Exemptions","Net Personal Property ","Total Net Grand List"
"2024","1","Andover","251,531,722","7,762,965","0","1,123,010","763,630","3,960,530","952,900","0","1,995,490","268,090,247","1,840,070","266,250,177","36,953,379","1,284,710","35,668,669","15,696,584","969,350","14,727,234","316,646,080"
"2023","1","Andover","250,749,262","7,762,965","0","1,123,010","763,630","3,980,550","955,220","0","1,995,490","267,330,127","816,350","266,513,777","39,460,920","1,302,770","38,158,150","15,826,631","965,250","14,861,381","319,533,308"
"2022","1","Andover","248,684,542","7,433,125","0","1,123,010","763,630","3,988,110","954,280","0","1,995,490","264,942,187","751,350","264,190,837","41,485,580","1,507,190","39,978,390","14,841,809","588,740","14,253,069","318,422,296"
"2021","1","Andover","247,190,752","5,920,950","0","1,123,010","763,630","4,146,310","960,190","0","1,995,490","262,100,332","804,000","261,296,332","38,845,850","1,531,390","37,314,460","12,140,549","490,940","11,649,609","310,260,401"
"2020","1","Andover","215,590,010","5,079,100","0","1,067,700","771,000","4,808,100","615,450","0","1,796,400","229,727,760","832,500","228,895,260","31,855,030","1,232,280","30,622,750","12,460,022","409,300","12,050,722","271,568,732"
"2019","1","Andover","213,755,763","5,072,300","0","1,067,700","771,000","4,930,000","614,410","0","1,796,400","228,007,573","763,000","227,244,573","29,477,445","1,190,480","28,286,965","10,909,098","418,920","10,490,178","266,021,716"
"2018","1","Andover","212,219,230","5,072,300",,"1,067,700","771,000","5,363,900","610,070","0","1,796,400","226,900,600","586,000","226,314,600","28,736,750","844,560","27,892,190","9,636,507","475,030","9,161,477","263,368,267"
"2017","1","Andover","211,103,370","5,076,730",,"1,067,700","771,000","5,441,300","633,560","0","1,796,400","225,890,060","879,000","225,011,060","28,678,849","932,940","27,745,909","7,446,428","487,440","6,958,988","259,715,957"
"2016","1","Andover","209,361,600","5,074,730",,"1,067,700","771,000","5,481,400","630,260","0","1,796,400","224,183,090","909,000","223,274,090","27,860,360","873,090","26,987,270","7,278,645","499,610","6,779,035","257,040,395"
"2015","1","Andover","219,437,190","4,504,300",,"1,068,300","616,800","5,312,220","633,040","0","1,536,000","233,107,850","1,076,900","232,030,950","27,900,970","970,290","26,930,680","7,196,630","495,030","6,701,600","265,663,230"
"2014","1","Andover","218,476,090","4,504,300",,"1,068,300","616,800","5,459,860","633,900","0","1,536,000","232,295,250","925,900","231,369,350","26,021,170","614,810","25,406,360","6,913,015","554,820","6,358,195","263,133,905"
"2013","1","Andover","216,902,490","4,509,200",,"1,068,300","616,800","5,715,260","628,920","0","1,536,000","230,976,970","1,175,900","229,801,070","25,717,580","699,920","25,017,660","6,457,505","456,470","6,001,035","260,819,765"
"2012","1","Andover","215,588,190","4,491,500",,"1,068,300","616,800","5,918,100","636,120","0","1,670,500","229,989,510","980,000","229,009,510","24,650,100","401,980","24,248,120","6,215,295","478,480","5,736,815",
"2011","1","Andover","214,676,688","4,696,400",,"1,068,300","616,800","6,133,800","636,120",,"1,536,000","229,364,108","1,012,500","228,351,608","24,721,366","460,480","24,260,886","6,260,773","366,994","5,893,779","258,506,273"
"2024","2","Ansonia","1,040,706,970","96,719,570","0","23,304,450","0","7,999,390","47,350","0","29,339,870","1,198,117,600","6,618,710","1,191,498,890","135,432,750","2,579,080","132,853,670","109,499,634","11,455,320","98,044,314","1,422,396,874"
"2023","2","Ansonia","1,036,353,200","102,706,030","0","26,651,530","0","8,013,390","47,350","0","27,890,990","1,201,662,490","4,379,950","1,197,282,540","144,386,975","2,167,310","142,219,665","97,785,710","10,750,840","87,034,870","1,426,537,075"
"2022","2","Ansonia","1,032,670,610","103,961,210","0","27,267,250","0","7,797,720","47,630","0","27,461,190","1,199,205,610","4,501,700","1,194,703,910","153,075,795","1,745,030","151,330,765","95,288,313","10,837,624","84,450,689","1,430,485,364"
"2021","2","Ansonia","711,542,340","56,126,757","1,909,080","63,045,733","34,000","10,922,200","42,410","0","5,966,510","847,679,950","7,889,200","839,790,750","140,820,665","1,644,810","139,175,855","86,552,662","11,536,156","75,016,506","1,053,983,111"
"2020","2","Ansonia","713,941,070","89,138,073","0","21,767,800","34,000","0","2,580","114,830","18,074,600","843,072,953","7,907,360","835,165,593","108,157,760","2,320,980","105,836,780","70,888,858","10,419,731","60,469,127","1,001,471,500"
"2019","2","Ansonia","712,537,180","87,561,273","1842402","21,741,000","34,000","0","2,580","117,630","18,074,800","840,068,463","5,989,310","834,079,153","102,819,870","2,184,530","100,635,340","67,945,535","4,940,360","63,005,175","997,719,668"
"2018","2","Ansonia","712,367,550","92,810,840",,"21,741,000","34,000","0","2,580","117,630","15,477,690","842,551,290","4,137,560","838,413,730","100,199,440","1,450,140","98,749,300","60,498,483","6,375,670","54,122,813","991,285,843"
"2017","2","Ansonia","709,613,056","88,420,540",,"22,900,600","34,000","0","2,580","117,630","18,093,800","839,182,206","6,976,270","832,205,936","101,051,280","2,274,850","98,776,430","56,506,555","5,336,800","51,169,755","982,152,121"
"2016","2","Ansonia","652,300,052","75,151,420",,"19,702,800","33,000","0","3,580","115,880","15,401,400","762,708,132","6,690,320","756,017,812","97,779,855","951,000","96,828,855","54,371,920","6,411,052","47,960,868","900,807,535"
"2015","2","Ansonia","650,979,252","74,909,020",,"15,489,600","33,000","0","3,580","115,880","15,401,400","756,931,732","3,801,231","753,130,501","97,798,377","955,430","96,842,947","51,870,787","4,277,288","47,593,499","897,566,947"
"2014","2","Ansonia","651,067,550","77,873,840",,"15,386,600","33,000","0","3,180","115,880","15,401,400","759,881,450","5,353,402","754,528,048","93,149,741","1,413,030","91,736,711","52,161,942","4,327,716","47,834,226","894,098,985"
"2013","2","Ansonia","650,902,550","78,406,900",,"15,386,600","33,000","0","3,180","115,880","15,401,400","760,249,510","5,875,149","754,374,361","92,679,667","1,238,872","91,440,795","50,680,465","3,998,170","46,682,295","892,497,451"
"2012","2","Ansonia","650,539,000","80,310,300",,"15,324,500","33,000","0","3,180","99,830","15,706,400","762,016,210","6,512,480","755,503,730","92,401,747","1,159,460","91,242,287","49,728,234","3,800,640","45,927,594",
"2011","2","Ansonia","909,108,600","104,086,000",,"20,006,500","333,600","0","3,180","121,115","16,936,400","1,050,595,395","6,700,936","1,043,894,459","90,916,888","1,051,908","89,864,980","44,521,036","3,786,830","40,734,206","1,174,493,645"
"2024","3","Ashford","274,302,400","13,920,730","0","1,597,020","46,340","6,920,190","4,097,970","26,460","11,738,020","312,649,130","2,888,520","309,760,610","39,999,090","338,500","39,660,590","20,690,070","2,402,475","18,287,595","367,708,795"
"2023","3","Ashford","273,664,100","13,533,350","0","1,597,020","46,340","7,086,520","4,105,210","26,460","11,738,020","311,797,020","1,538,012","310,259,008","44,632,572","1,299,590","43,332,982","18,758,861","2,045,817","16,713,044","370,305,034"
"2022","3","Ashford","272,864,890","13,532,720","0","1,597,020","46,340","7,062,300","4,117,380","26,460","11,738,020","310,985,130","1,555,412","309,429,718","46,505,230","1,261,280","45,243,950","16,463,090","1,778,669","14,684,421","369,358,089"
"2021","3","Ashford","271,556,890","13,555,370","0","1,597,030","46,340","7,171,110","4,145,250","26,460","11,738,020","309,836,470","1,360,410","308,476,060","44,100,317","1,073,890","43,026,427","16,267,320","2,078,712","14,188,608","365,691,095"
"2020","3","Ashford","228,230,311","12,171,100","0","1,512,290","30,200","8,058,040","3,671,410","9,710","8,173,480","261,856,541","1,273,637","260,582,904","34,216,670","311,850","33,904,820","15,668,300","2,117,867","13,550,433","308,038,157"
"2019","3","Ashford","226,603,185","14,582,566","0","0","0","6,675,700","3,929,870","9,700","9,056,600","260,857,621","1,218,590","259,639,031","34,010,687","1,228,090","32,782,597","14,988,718","1,816,179","13,172,539","305,594,167"
"2018","3","Ashford","226,317,495","14,918,446",,"0","0","6,692,880","3,938,590","9,700","9,056,600","260,933,711","1,197,260","259,736,451","32,981,365","1,059,890","31,921,475","14,094,490","1,959,282","12,135,208","303,793,134"
"2017","3","Ashford","225,341,450","14,552,646",,"0","0","7,261,200","4,258,750","9,700","9,381,400","260,805,146","1,115,360","259,689,786","31,898,635","1,093,020","30,805,615","12,889,700","2,132,877","10,756,823","301,252,224"
"2016","3","Ashford","224,755,100","13,347,346",,"0","0","7,201,200","4,370,470","9,700","9,056,600","258,740,416","1,107,830","257,632,586","31,189,350","944,860","30,244,490","11,176,730","1,883,540","9,293,190","297,170,266"
"2015","3","Ashford","226,847,595","12,750,100",,"0","0","8,996,500","3,113,930","9,700","9,243,700","260,961,525","1,203,175","259,758,350","31,023,780","935,540","30,088,240","10,506,713","1,676,780","8,829,933","298,676,523"
"2014","3","Ashford","226,036,400","12,739,600",,"0","0","9,651,200","3,081,280","9,700","9,243,600","260,761,780","1,187,575","259,574,205","30,460,517","892,060","29,568,457","9,516,424","1,192,382","8,324,042","297,466,704"
"2013","3","Ashford","224,709,300","12,664,800",,"0","0","10,252,600","3,079,110","9,700","9,243,600","259,959,110","1,017,175","258,941,935","30,117,490","963,740","29,153,750","8,821,111","664,907","8,156,204","296,251,889"
"2012","3","Ashford","224,539,000","12,664,300",,"0","0","10,648,300","3,049,330","9,700","9,291,200","260,201,830","642,575","259,559,255","29,627,470","1,015,410","28,612,060","7,779,493","574,664","7,204,829",
"2011","3","Ashford","223,581,000","12,745,100",,"0","0","10,916,400","3,101,150","9,700","9,291,200","259,644,550","594,025","259,050,525","29,897,442","994,722","28,902,720","7,562,877","585,942","6,976,935","294,930,180"
"2024","4","Avon","2,508,496,547","315,473,274","0","10,230,660","466,970","4,691,140","298,520","0","35,714,500","2,875,371,611","11,065,390","2,864,306,221","237,052,800","2,756,270","234,296,530","144,639,090","19,846,160","124,792,930","3,223,395,681"
"2023","4","Avon","2,501,927,147","342,556,664","0","10,172,210","466,970","4,577,920","298,520","0","5,900,830","2,865,900,261","4,490,060","2,861,410,201","234,188,105","808,250","233,379,855","140,376,510","20,669,930","119,706,580","3,214,496,636"
"2022","4","Avon","1,982,027,771","313,825,865","0","11,899,740","409,210","4,341,050","225,180","0","14,968,370","2,327,697,186","4,344,870","2,323,352,316","253,576,800","781,240","252,795,560","133,848,070","21,511,640","112,336,430","2,688,484,306"
"2021","4","Avon","1,975,335,184","315,918,549","0","11,872,790","409,210","4,340,600","225,180","0","14,968,370","2,323,069,883","4,378,750","2,318,691,133","240,840,750","839,020","240,001,730","130,858,630","21,778,946","109,079,684","2,667,772,547"
"2020","4","Avon","1,968,732,254","309,448,438","0","11,872,790","409,210","4,262,600","225,180","0","14,968,370","2,309,918,842","3,914,080","2,306,004,762","192,837,480","633,800","192,203,680","123,716,060","21,291,470","102,424,590","2,600,633,032"
"2019","4","Avon","1,963,351,174","303,170,138","0","11,872,790","409,210","4,152,870","225,180","0","14,310,370","2,297,491,732","3,729,880","2,293,761,852","181,314,800","599,840","180,714,960","118,844,920","20,352,940","98,491,980","2,572,968,792"
"2018","4","Avon","1,945,152,118","315,439,558",,"12,484,440","409,210","4,356,250","225,180","0","14,310,370","2,292,377,126","3,815,650","2,288,561,476","181,373,190","559,850","180,813,340","116,619,390","26,651,070","89,968,320","2,559,343,136"
