GL Year,Town Code,Town Name,100 Residential ,200 Commercial,250 Income and Expense Penalties,300 Industrial,400 Public Utility ,500 Vacant Land,600 Land Use,700 Ten Mill Land,800 Apartment,Total Real Property,Exemptions,Net Real Property,Motor Vehicle,Motor Vehicle Exemption,Total Net Motor Vehicle,Personal Property,Personal Property Exemptions,Net Personal Property ,Total Net Grand List
2024,103,Norwalk,"11,686,464,996","3,247,797,905",0,"213,894,861","38,509,740","177,699,790","691,920",0,"1,121,928,880","16,486,988,092","1,987,786,381","14,499,201,711","894,404,959","1,137,510","893,267,449","911,100,244","15,754,252","895,345,992","16,287,815,152"
2023,103,Norwalk,"11,640,782,312","3,141,154,278",0,"205,682,721","38,509,740","181,982,560","691,920",0,"1,027,759,230","16,236,562,761","2,682,701,900","13,553,860,861","959,951,933","12,875,420","947,076,513","897,293,867","16,040,475","881,253,392","15,382,190,766"
2022,103,Norwalk,"8,627,809,477","3,455,835,766",0,"199,530,197","52,676,295","165,230,658","613,240",0,"776,586,911","13,278,282,544","210,278,915","13,068,003,629","1,024,107,704","12,710,166","1,011,397,538","805,820,921","15,560,779","790,260,142","14,869,661,309"
2021,103,Norwalk,"8,537,812,953","3,304,358,744","56,750,709","192,100,010","45,428,368","200,328,928","329,020",0,"922,917,927","13,203,275,950","265,363,046","12,937,912,904","918,899,115","16,068,474","902,830,641","923,333,277","13,133,877","910,199,400","14,750,942,945"
2020,103,Norwalk,"8,512,849,253","3,364,526,719",93393958,"191,631,980","50,120,013","194,831,684","329,020",0,"934,816,567","13,249,105,236","237,190,075","13,011,915,161","724,711,347","13,449,960","711,261,387","974,150,103","15,715,229","958,434,874","14,681,611,422"
2019,103,Norwalk,"8,504,356,806","3,360,946,619",27711796,"195,265,870","63,901,356","201,475,585","329,020",0,"878,314,344","13,204,589,600","47,208,740","13,157,380,860","694,756,658","12,520,835","682,235,823","844,400,657","12,409,241","831,991,416","14,671,608,099"
2018,103,Norwalk,"8,481,375,551","3,045,080,784",,"193,465,314","63,901,356","200,549,869","289,150",0,"856,946,096","12,841,608,120","32,589,945","12,809,018,175","678,100,411","13,472,106","664,628,305","815,962,868","11,029,526","804,933,342","14,278,579,822"
2017,103,Norwalk,"7,715,387,246","2,309,942,240",,"149,549,385","42,111,701","155,443,762","25,760",0,"480,210,212","10,852,670,306","36,549,100","10,816,121,206","662,669,421","14,142,261","648,527,160","814,815,558","16,107,077","798,708,481","12,263,356,847"
2016,103,Norwalk,"7,686,517,100","2,308,139,865",,"149,922,625","42,304,780","155,265,627","25,760",0,"442,730,986","10,784,906,743","30,624,218","10,754,282,525","654,421,936","15,117,515","639,304,421","823,379,371","15,073,970","808,305,401","12,201,892,347"
2015,103,Norwalk,"7,636,935,131","2,311,033,945",,"146,297,142","51,993,520","149,723,574","25,760",0,"423,479,180","10,719,488,252","26,964,847","10,692,523,405","629,304,059","14,686,384","614,617,675","812,178,694","27,489,593","784,689,101","12,091,830,181"
